stateDt,decideCnt
20221231,29059273
20221230,28996347
20221229,28931140
20221228,28859713
20221227,28772196
20221226,28684600
20221225,28659055
20221224,28600607
20221223,28534558
20221222,28466390
20221221,28390646
20221220,28302474
20221219,28214915
20221218,28188293
20221217,28129431
20221216,28062679
20221215,27995726
20221214,27925572
20221213,27841001
20221212,27754149
20221211,27728482
20221210,27674163
20221209,27611555
20221208,27548821
20221207,27483568
20221206,27408854
20221205,27331250
20221204,27308090
20221203,27261526
20221202,27208800
20221201,27155813
20221130,27098734
20221129,27031319
20221128,26959843
20221127,26937516
20221126,26890488
20221125,26837840
20221124,26784142
20221123,26725053
20221122,26654729
20221121,26581856
20221120,26558765
20221119,26512754
20221118,26462319
20221117,26412901
20221116,26357464
20221115,26290877
20221114,26217994
20221113,26194229
20221112,26145764
20221111,26091539
20221110,26037020
20221109,25981655
20221108,25919183
20221107,25856910
20221106,25838239
20221105,25801564
20221104,25760701
20221103,25717277
20221102,25670407
20221101,25615667
20221031,25557309
20221030,25538799
20221029,25504288
20221028,25466992
20221027,25431105
20221026,25396155
20221025,25355350
20221024,25311636
20221023,25297334
20221021,25244255
20221019,25194177
20221018,25164695
20221017,25131505
20221016,25120465
20221015,25098996
20221014,25076239
20221013,25052677
20221012,25025749
20221011,24995246
20221010,24979770
20221009,24970789
20221008,24953135
20221007,24933756
20221006,24911497
20221005,24882894
20221004,24848184
20220930,24769101
20220929,24740635
20220928,24709789
20220927,24673663
20220923,24565021
20220922,24535940
20220921,24502968
20220920,24461737
20220919,24413873
20220918,24394466
20220917,24359702
20220916,24316302
20220915,24264470
20220914,24193038
20220913,24099134
20220912,24041825
20220911,24004887
20220910,23976673
20220909,23933949
20220908,23864560
20220907,23791961
20220906,23706477
20220905,23606740
20220904,23569192
20220903,23497048
20220902,23417425
20220901,23327897
20220831,23246398
20220830,23142479
20220829,23026960
20220828,22983818
20220827,22898523
20220826,22802985
20220825,22701921
20220824,22588640
20220823,22449475
20220822,22299377
20220821,22240331
20220820,22129387
20220819,22000037
20220818,21861296
20220817,21682816
20220816,21502164
20220815,21418036
20220814,21355958
20220813,21236355
20220812,21111840
20220811,20983169
20220810,20845973
20220809,20694239
20220808,20544420
20220807,20489128
20220806,20383621
20220805,20273011
20220804,20160154
20220803,20052305
20220802,19932439
20220731,19776050
20220730,19702461
20220729,19620517
20220728,19535242
20220727,19446946
20220726,19346764
20220725,19247496
20220724,19211613
20220723,19146180
20220722,19077659
20220721,19009080
20220720,18937971
20220719,18861593
20220718,18788056
20220717,18761757
20220716,18721415
20220715,18680142
20220714,18641278
20220713,18602109
20220712,18561861
20220711,18524538
20220710,18511845
20220709,18491435
20220708,18471172
20220707,18451862
20220706,18433359
20220705,18413997
20220704,18395864
20220701,18368857
20220630,18359341
20220629,18349756
20220628,18339319
20220627,18329448
20220626,18326019
20220625,18319773
20220624,18312993
20220623,18305783
20220622,18298341
20220621,18289373
20220619,18276552
20220618,18270481
20220617,18263643
20220616,18256457
20220615,18248479
20220614,18239056
20220613,18229288
20220612,18225460
20220611,18218078
20220609,18200346
20220608,18188200
20220607,18174880
20220606,18168708
20220605,18163686
20220604,18153851
20220603,18141835
20220602,18129313
20220601,18119415
20220531,18103638
20220530,18086462
20220529,18080323
20220528,18067669
20220527,18053287
20220526,18036720
20220525,18017923
20220524,17993985
20220523,17967672
20220522,17957697
20220521,17938399
20220520,17914957
20220519,17889849
20220518,17861744
20220517,17830429
20220516,17795312
20220515,17782016
20220514,17756583
20220513,17727006
20220512,17694563
20220511,17658667
20220510,17614757
20220509,17564861
20220508,17544273
20220507,17504225
20220506,17464782
20220505,17438068
20220504,17395791
20220503,17346753
20220502,17295733
20220501,17275649
20220430,17237878
20220429,17194616
20220428,17144065
20220427,17086626
20220426,17009865
20220425,16929564
20220424,16895194
20220423,16830469
20220422,16755055
20220421,16674045
20220420,16583220
20220419,16471940
20220418,16353495
20220417,16305752
20220416,16212751
20220415,16104869
20220414,15979061
20220413,15830644
20220412,15635274
20220411,15424598
20220410,15333670
20220409,15169189
20220408,14983694
20220407,14778405
20220406,14553644
20220405,14267401
20220404,14001406
20220403,13874216
20220402,13639915
20220401,13375818
20220331,13095631
20220330,12774956
20220329,12350428
20220328,12003054
20220325,11162232
20220323,10427247
20220322,9936540
20220320,9373646
20220319,9038938
20220318,8657609
20220317,8250592
20220316,7629275
20220315,7228550
20220314,6866222
20220313,6556453
20220312,6206277
20220311,5822626
20220310,5539650
20220309,5212118
20220308,4869691
20220307,4666977
20220306,4456264
20220305,4212652
20220304,3958326
20220303,3691488
20220228,3134456
20220227,2994841
20220226,2831283
20220225,2665077
20220224,2499188
20220223,2329182
20220222,2157734
20220221,2058184
20220219,1858009
20220218,1755806
20220217,1645978
20220216,1552851
20220215,1462421
20220214,1405246
20220213,1350630
20220212,1294205
20220210,1185361
20220208,1081681
20220204,934656
20220203,907214
20220202,884310
20220201,864042
20220131,845709
20220130,828637
20220129,811122
20220128,793582
20220127,777497
20220126,762983
20220125,749979
20220124,741413
20220123,733902
20220122,726274
20220121,719269
20220120,712503
20220119,705902
20220118,700102
20220117,696032
20220116,692174
20220115,687984
20220114,683566
20220113,679030
20220112,674868
20220111,670483
20220110,667390
20220107,657508
20220106,653792
20220105,649669
20220104,645226
20220103,642207
20220102,639083
20220101,635254
20211231,630838
20211230,625967
20211229,620938
20211228,615532
20211227,611670
20211226,607463
20211225,602045
20211224,596209
20211223,589978
20211222,583065
20211221,575615
20211220,570414
20211219,565098
20211218,558864
20211217,551551
20211216,544117
20211215,536495
20211214,528652
20211213,523088
20211210,503606
20211209,496584
20211208,489484
20211207,482310
20211205,473034
20211202,457612
20211130,447230
20211129,444200
20211128,440896
20211127,436968
20211126,432901
20211125,429002
20211124,425063
20211123,420950
20211122,418252
20211121,415425
20211120,412311
20211119,409099
20211118,406065
20211116,399591
20211115,397466
20211112,390719
20211111,388351
20211110,385831
20211109,383407
20211108,381694
20211107,379935
20211106,377712
20211105,375464
20211104,373120
20211103,370640
20211102,367974
20211101,366386
20211031,364700
20211030,362639
20211029,360536
20211028,358412
20211027,356305
20211025,353089
20211024,351899
20211023,350476
20211022,348969
20211021,347529
20211020,346088
20211019,344518
20211018,343445
20211017,342396
20211016,340978
20211015,339361
20211014,337679
20211013,335742
20211012,334163
20211011,332816
20211008,327976
20211007,325804
20211006,323379
20211005,321352
20211004,319777
20211003,318105
20211002,316020
20211001,313773
20210930,311289
20210929,308725
20210928,305842
20210927,303553
20210926,301172
20210925,298402
20210924,295132
20210923,292699
20210922,290983
20210921,289263
20210920,287536
20210919,285931
20210918,284022
20210917,281938
20210914,275910
20210913,274415
20210911,271227
20210910,269362
20210909,267470
20210908,265423
20210907,263374
20210906,261778
20210905,260403
20210904,258913
20210903,257110
20210902,255401
20210901,253445
20210831,251421
20210830,250051
20210829,248568
20210828,246951
20210827,245158
20210826,243317
20210825,241439
20210824,239287
20210823,237782
20210822,236366
20210821,234739
20210820,232859
20210819,230808
20210818,228657
20210817,226854
20210816,225481
20210815,223928
20210814,222111
20210813,220182
20210812,218192
20210811,216206
20210810,213987
20210809,212448
20210808,210956
20210807,209228
20210806,207406
20210805,205702
20210804,203926
20210803,202203
20210802,201002
20210801,199787
20210731,198345
20210730,196806
20210729,195099
20210728,193427
20210727,191531
20210726,190166
20210725,188848
20210724,187362
20210723,185733
20210722,184103
20210721,182265
20210720,180481
20210719,179203
20210718,177951
20210717,176500
20210716,175046
20210715,173511
20210714,171911
20210713,170296
20210712,169146
20210710,166722
20210709,165344
20210708,164028
20210707,162753
20210706,161541
20210705,160795
20210704,160084
20210703,159342
20210702,158549
20210701,157723
20210630,156961
20210629,156167
20210628,155572
20210627,155071
20210626,154457
20210625,153789
20210624,153155
20210623,152545
20210622,151901
20210621,151506
20210620,151149
20210619,150720
20210618,150238
20210617,149731
20210616,149191
20210615,148647
20210614,148273
20210613,147874
20210612,147422
20210611,146859
20210610,146303
20210609,145692
20210608,145091
20210607,144637
20210606,144152
20210605,143596
20210604,142852
20210603,142157
20210602,141476
20210601,140799
20210531,140340
20210530,139910
20210529,139431
20210528,138898
20210527,138311
20210526,137682
20210525,136983
20210524,136467
20210523,135929
20210522,135344
20210521,134678
20210520,134117
20210519,133471
20210518,132818
20210517,132290
20210516,131671
20210515,131061
20210514,130380
20210513,129633
20210512,128918
20210511,128283
20210510,127772
20210509,127309
20210508,126745
20210507,126044
20210506,125519
20210505,124945
20210504,124269
20210503,123728
20210502,123240
20210501,122634
20210430,122007
20210429,121351
20210428,120673
20210427,119898
20210424,118243
20210423,117458
20210422,116661
20210421,115926
20210420,115195
20210420,115195
20210419,114646
20210418,114115
20210417,113444
20210416,112789
20210415,112117
20210414,111419
20210413,110688
20210412,110146
20210411,109559
20210410,108945
20210409,108269
20210408,107598
20210407,106898
20210406,106230
20210405,105752
20210404,105279
20210403,104736
20210402,104194
20210401,103639
20210331,103088
20210330,102582
20210329,102141
20210328,101757
20210327,101275
20210326,100770
20210325,100276
20210324,99846
20210323,99421
20210322,99075
20210321,98665
20210320,98209
20210319,97757
20210318,97294
20210317,96849
20210316,96380
20210315,96017
20210314,95635
20210313,95176
20210312,94686
20210311,94198
20210310,93733
20210309,93263
20210308,92817
20210307,92471
20210306,92055
20210305,91638
20210304,91240
20210303,90816
20210302,90372
20210301,90029
20210228,89676
20210227,89321
20210226,88922
20210225,88516
20210224,88120
20210223,87681
20210222,87324
20210221,86992
20210220,86576
20210219,86128
20210218,85567
20210217,84946
20210216,84325
20210215,83869
20210214,83525
20210213,83199
20210212,82837
20210211,82434
20210210,81930
20210209,81487
20210208,81185
20210207,80896
20210206,80524
20210205,80131
20210204,79762
20210203,79311
20210202,78844
20210201,78508
20210129,77395
20210128,76926
20210127,76429
20210126,75875
20210125,75521
20210124,75084
20210123,74692
20210122,74262
20210121,73918
20210120,73518
20210119,73115
20210118,72729
20210117,72340
20210116,71820
20210115,71241
20210114,70728
20210113,70212
20210112,69651
20210111,69114
20210110,68664
20210109,67999
20210108,67358
20210107,66686
20210106,65818
20210105,64979
20210104,64264
20210103,63244
20210102,62593
20210101,61769
20201231,60740
20201230,59773
20201229,58725
20201228,57680
20201227,56872
20201226,55902
20201225,54770
20201224,53533
20201223,52550
20201222,51460
20201221,50591
20201220,49665
20201219,48570
20201219,48570
20201218,47515
20201217,46453
20201216,45442
20201215,44364
20201214,43484
20201213,42766
20201212,41736
20201211,40786
20201210,40098
20201208,38746
20201209,39432
20201208,38755
20201207,38161
20201206,37546
20201205,36915
20201204,36332
20201203,35703
20201202,35163
20201201,34652
20201130,34201
20201129,33824
20201128,33375
20201127,32887
20201126,32318
20201125,31735
20201124,31353
20201123,31004
20201122,30733
20201121,30403
20201120,30017
20201119,29654
20201118,29311
20201117,28998
20201116,28769
20201115,28546
20201114,28338
20201113,28133
20201112,27942
20201111,27799
20201110,27653
20201109,27553
20201108,27427
20201107,27284
20201106,27195
20201105,27050
20201104,26925
20201103,26807
20201102,26732
20201101,26635
20201031,26511
20201030,26385
20201029,26271
20201028,26146
20201027,26043
20201026,25955
20201025,25836
20201024,25775
20201023,25698
20201022,25543
20201021,25424
20201020,25333
20201019,25275
20201018,25199
20201017,25108
20201016,25035
20201015,24988
20201014,24889
20201013,24805
20201012,24703
20201011,24606
20201010,24548
20201009,24476
20201008,24422
20201007,24353
20201006,24239
20201005,24164
20201004,24091
20201003,24027
20201002,23952
20201001,23889
20200930,23812
20200929,23699
20200928,23661
20200927,23611
20200926,23516
20200925,23455
20200924,23341
20200923,23216
20200922,23106
20200921,23045
20200920,22975
20200919,22893
20200918,22783
20200917,22657
20200916,22504
20200915,22391
20200914,22285
20200913,22176
20200912,22055
20200911,21919
20200910,21743
20200909,21588
20200908,21432
20200907,21296
20200906,21177
20200905,21010
20200904,20842
20200903,20644
20200902,20449
20200901,20182
20200831,19947
20200830,19699
20200829,19400
20200828,19077
20200827,18706
20200826,18265
20200825,17945
20200824,17665
20200823,17399
20200822,17002
20200821,16670
20200820,16346
20200819,16058
20200818,15761
20200817,15515
20200816,15318
20200815,15039
20200814,14873
20200813,14770
20200812,14714
20200811,14660
20200810,14626
20200809,14598
20200808,14562
20200807,14519
20200806,14499
20200805,14456
20200804,14423
20200803,14389
20200802,14366
20200801,14336
20200731,14305
20200730,14269
20200729,14251
20200728,14203
20200727,14175
20200726,14150
20200725,14092
20200724,13979
20200723,13938
20200722,13879
20200721,13816
20200720,13771
20200719,13745
20200718,13711
20200717,13672
20200716,13612
20200715,13551
20200714,13512
20200713,13479
20200712,13417
20200711,13373
20200710,13338
20200709,13293
20200708,13244
20200707,13181
20200706,13137
20200705,13091
20200704,13030
20200703,12967
20200702,12904
20200701,12850
20200630,12800
20200629,12757
20200628,12715
20200627,12653
20200626,12602
20200625,12563
20200624,12535
20200623,12484
20200622,12438
20200621,12421
20200620,12373
20200619,12306
20200618,12257
20200617,12198
20200616,12155
20200615,12121
20200614,12085
20200613,12051
20200612,12003
20200611,11947
20200610,11902
20200609,11852
20200608,11814
20200607,11776
20200606,11719
20200605,11668
20200604,11629
20200603,11590
20200602,11541
20200601,11503
20200531,11468
20200530,11441
20200529,11402
20200528,11344
20200527,11265
20200526,11225
20200525,11206
20200524,11190
20200523,11165
20200522,11142
20200521,11122
20200520,11110
20200519,11078
20200518,11065
20200517,11050
20200516,11037
20200515,11018
20200514,10991
20200513,10962
20200512,10936
20200511,10909
20200510,10874
20200509,10840
20200508,10822
20200507,10810
20200506,10806
20200505,10804
20200504,10801
20200503,10793
20200502,10780
20200501,10774
20200430,10765
20200429,10761
20200428,10752
20200427,10738
20200426,10728
20200425,10718
20200425,10718
20200425,12801
20200424,10708
20200423,10702
20200422,10694
20200421,10683
20200420,10674
20200419,10661
20200418,10653
20200417,10635
20200416,10613
20200415,10591
20200414,10564
20200413,10537
20200412,10512
20200411,10480
20200410,10450
20200409,10423
20200408,10384
20200407,10331
20200406,10284
20200405,10237
20200404,10156
20200403,10062
20200402,9976
20200402,9976
20200401,9887
20200331,9786
20200330,9661
20200329,9583
20200328,9478
20200327,9332
20200326,9241
20200325,9137
20200324,9037
20200324,9037
20200323,8961
20200322,8897
20200321,8799
20200320,8652
20200319,8565
20200318,8413
20200317,8320
20200316,8236
20200315,8162
20200314,8086
20200313,7979
20200312,7869
20200311,7755
20200310,7513
20200309,7382
20200308,7134
20200307,6767
20200306,6284
20200305,5766
20200304,5328
20200303,4812
20200302,4212
20200301,3736
20200301,3526